,,-0.0,,,-0.0,,,-0.0,,,-0.0,,,-0.0,7
11.42,0.0,-635.223386074,11.42,0.0,-635.223386074,11.42,0.0,-635.223386074,11.42,0.0,-635.223386074,11.42,0.0,-635.223386074,7
11.54,0.0,-651.427328618,11.54,0.0,-651.427328618,11.54,0.0,-651.427328618,11.54,0.0,-651.427328618,11.54,0.0,-651.427328618,7
11.325,0.0,-622.556054099,11.325,0.0,-622.556054099,11.325,0.0,-622.556054099,11.325,0.0,-622.556054099,5.70756939094,5.61743060906,-622.516950021,7
11.28,0.0,-616.6052378,11.28,0.0,-616.6052378,11.28,0.0,-616.6052378,11.28,0.0,-616.6052378,5.71546254939,5.56453745061,-616.51909124,7
11.3333333333,0.0,-623.661546835,11.3333333333,0.0,-623.661546835,11.3333333333,0.0,-623.661546835,5.75044879152,5.58288454182,-623.5612312,3.89528668056,5.25949802301,-623.445761694,7
11.2485714286,0.0,-612.467960615,11.2485714286,0.0,-612.467960615,11.2485714286,0.0,-612.467960615,5.66706982727,5.5815016013,-612.431959588,3.81422203595,5.25688722463,-612.379647374,7
11.3,0.0,-619.246120094,11.3,0.0,-619.246120094,11.3,0.0,-619.246120094,5.71238659542,5.58761340458,-619.181316602,2.93903402814,4.82780756207,-618.969132872,7
11.2977777778,0.0,-618.952378672,11.2977777778,0.0,-618.952378672,11.2977777778,0.0,-618.952378672,5.70238372196,5.59539405582,-618.901210999,2.89643300499,4.85064685426,-618.813629365,7
11.274,0.0,-615.814197226,11.274,0.0,-615.814197226,11.274,0.0,-615.814197226,5.67114515558,5.60285484442,-615.789163319,2.86877929786,4.85276144281,-615.740851888,7
11.3654545455,0.0,-627.932928469,11.3654545455,0.0,-627.932928469,5.75743785407,5.60801669138,-627.848043026,3.87057748479,5.29972183989,-627.804241649,2.38778330581,4.48945449181,-627.59294501,7
11.37,0.0,-628.53867919,11.37,0.0,-628.53867919,5.75559714915,5.61440285085,-628.460625697,3.85672232834,5.31279563111,-628.440936739,2.35441500467,4.50797422311,-628.339624489,7
11.3892307692,0.0,-631.105065855,11.3892307692,0.0,-631.105065855,5.76666904229,5.62256172694,-631.02460663,3.85643823289,5.32667160673,-631.015999719,2.33524510194,4.52715154893,-630.982521235,7
11.3842857143,0.0,-630.444582319,11.3842857143,0.0,-630.444582319,5.75614630217,5.62813941211,-630.377214834,3.83975988068,5.33501415128,-630.376730191,1.96842399321,4.21130662048,-630.225940449,7
11.2466666667,0.0,-612.217714462,11.2466666667,0.0,-612.217714462,5.68465197131,5.56201469535,-612.154591266,3.84264235132,5.23545641383,-612.061936106,1.99060895147,4.13950154504,-611.831924719,7
11.1225,0.0,-596.027408221,11.1225,0.0,-596.027408221,5.67119308705,5.45130691295,-595.880942238,2.9668898716,4.70868282952,-595.512224281,1.77548528742,3.8161878167,-595.158458968,7
10.9258823529,0.0,-570.882909017,10.9258823529,0.0,-570.882909017,5.66430364781,5.26157870513,-570.587889695,3.00739757283,4.57196793593,-570.078600574,1.76865827037,3.74055962089,-569.889491114,7
10.68,0.0,-540.284578975,10.68,0.0,-540.284578975,5.65313773062,5.02686226938,-539.917487641,3.04386591864,4.41008177054,-539.318860363,1.82697364019,3.6177743026,-538.920503626,7
10.4884210526,0.0,-517.09260802,10.4884210526,0.0,-517.09260802,5.63847836285,4.84994268979,-516.797161938,3.05798795494,4.29307975757,-516.18703464,1.63317467943,3.3534837417,-515.641861532,7
10.25,0.0,-489.019227886,5.61407708096,4.63592291904,-488.976960943,5.61407708096,4.63592291904,-488.976960943,3.05017068917,4.16384091496,-488.405705783,1.60821407842,3.27872897961,-487.999712066,7
10.019047619,0.0,-462.655081233,5.5847952797,4.43425233935,-463.026350359,5.5847952797,4.43425233935,-463.026350359,3.03692447798,4.04301789186,-462.48366737,1.63531736248,3.18403571699,-461.849325753,7
9.81363636364,0.0,-439.888725341,5.55299078772,4.26064557592,-440.745377027,3.93748769034,4.16194277523,-440.398532992,2.48015837148,3.68496738648,-439.97558357,1.46136388961,2.97358818476,-439.500310657,7
9.59739130435,0.0,-416.611568893,5.51351578144,4.0838755229,-418.072621461,3.90336582083,4.03780369125,-417.716935265,2.46553995139,3.58935542918,-417.269192089,1.44505861079,2.90865961561,-416.856746392,7
9.47166666667,0.0,-403.401966789,5.486325187,3.98534147967,-405.231907739,3.87821034742,3.96997453572,-404.870360968,2.44753282771,3.53930730136,-404.434432154,1.31199182212,2.7485184489,-403.888942268,7
9.3648,0.0,-392.360098883,5.45701242728,3.90778757272,-394.461406994,3.84412890964,3.92215786169,-394.093809319,2.40966440651,3.50950162414,-393.733253495,1.25692045637,2.73629561254,-393.4850059,7
9.24846153846,0.0,-380.53362893,5.41915948678,3.82930205168,-382.877487112,3.79384091681,3.88059579314,-382.517341513,2.35698035868,3.48326354318,-382.255925931,1.24669647022,2.70173753199,-381.884287853,7
9.18148148148,0.0,-373.816229396,5.39290889457,3.78857258691,-376.249641996,3.75807438315,3.86189365342,-375.907762199,1.96694855854,3.26597545274,-375.581039304,1.14316889211,2.57556199093,-375.126962754,7
9.10214285714,0.0,-365.945687828,5.35729965116,3.74484320598,-368.430048458,3.70769790012,3.84598565161,-368.131262852,1.9463624224,3.24038095418,-367.77821736,1.10556339659,2.56445512536,-367.546960521,7
9.05862068966,0.0,-361.667880538,5.33306854108,3.72555214857,-364.121183831,3.6743672404,3.84131998375,-363.858660686,1.93641187121,3.2249193986,-363.472698776,1.09638116124,2.55339898622,-363.277783742,7
9.04933333333,0.0,-360.758657705,5.32137984801,3.72795348532,-363.124437134,3.66058162451,3.84468372399,-362.875816055,1.92674654207,3.22471458653,-362.504701447,1.00618727142,2.45932713328,-362.263509026,7
9.02193548387,0.0,-358.083877607,5.29713999928,3.72479548459,-360.321614861,3.63469173473,3.84406938013,-360.096683964,1.90203387387,3.22381604548,-359.784780861,0.985394867446,2.45706274641,-359.62092454,7
9.02125,0.0,-358.017098096,5.28569936507,3.73555063493,-360.123778315,2.78780375476,3.63549898529,-359.707935231,1.63237617606,3.05491486729,-359.58716609,0.928667483646,2.36759213429,-359.244915397,7
9.00545454545,0.0,-356.480238367,5.26300011462,3.74245443083,-358.418064283,2.77719948975,3.63076624881,-357.999839417,1.62501862256,3.05020651101,-357.873406124,0.910384606823,2.36782149912,-357.665838581,7
8.99235294118,0.0,-355.208283844,5.24064376474,3.75170917643,-356.973226785,2.77102320865,3.62452888034,-356.538683256,1.6291750689,3.04084516782,-356.3714602,0.907005878734,2.3638350257,-356.226638904,7
9.02228571429,0.0,-358.11799957,5.2468582464,3.77542746789,-359.790482027,2.78182278456,3.6337177452,-359.330661147,1.63711095787,3.04849969198,-359.1576622,0.854068719371,2.2940723528,-358.910130558,7
9.04111111111,0.0,-359.954776576,5.24396660079,3.79714451032,-361.501174567,2.78675411821,3.63979553759,-361.022286839,1.63365085508,3.05678592234,-360.883320091,0.838620752602,2.30326493807,-360.765729326,7
9.09243243243,0.0,-364.988813261,5.26565303992,3.82677939251,-366.495456289,2.80438798375,3.65797675414,-365.994625839,1.63951844525,3.07504477132,-365.878199104,0.834361566655,2.31869873184,-365.828093676,7
9.17421052632,0.0,-373.091044576,5.31226058106,3.86194994525,-374.655039978,2.83605724345,3.6863335994,-374.126184907,1.45889252232,2.94817355096,-373.982702559,0.811201794631,2.26220822357,-373.742606407,7
9.24102564103,0.0,-379.784590415,5.34653054492,3.8944950961,-381.357320015,2.86067151303,3.70986397022,-380.806079598,1.47103046634,2.96866891274,-380.66774203,0.810420749867,2.28025555484,-380.524670061,7
5.41248868374,3.93001131626,-391.808087792,3.73241405449,3.99273851097,-391.534210046,2.90357854947,3.74397856509,-391.229974379,1.49604329146,2.99835504099,-391.073546592,0.780088340558,2.23862696141,-390.809257853,7
5.47724322406,3.96422019058,-402.15990847,3.77460451356,4.03418537459,-401.888174882,2.94616024045,3.77689667166,-401.559127887,1.52000125365,3.02763187409,-401.390357512,0.797790768632,2.25985141481,-401.102913875,7
5.52399921481,3.99647697567,-410.479094391,3.81119007232,4.0639040091,-410.195729461,2.97844517892,3.8035350687,-409.857421972,1.53292554928,3.05338168999,-409.706071653,0.792468525247,2.28258734917,-409.561319682,7
5.57931904553,4.02812281493,-419.790592158,3.85172994361,4.09711001621,-419.499689703,2.42294730353,3.6267061334,-419.132804991,1.3800954532,2.94395438213,-419.008000386,0.757458434002,2.24228465558,-418.773787178,7
