,,-0.0,,,-0.0,,,-0.0,,,-0.0,,,-0.0,10
44.59,0.0,-15100.9344684,44.59,0.0,-15100.9344684,44.59,0.0,-15100.9344684,44.59,0.0,-15100.9344684,44.59,0.0,-15100.9344684,10
43.66,0.0,-14397.2374628,43.66,0.0,-14397.2374628,43.66,0.0,-14397.2374628,43.66,0.0,-14397.2374628,43.66,0.0,-14397.2374628,10
42.845,0.0,-13795.5671756,42.845,0.0,-13795.5671756,42.845,0.0,-13795.5671756,42.845,0.0,-13795.5671756,22.0412941903,20.8037058097,-13796.2201522,10
42.092,0.0,-13252.0845105,42.092,0.0,-13252.0845105,42.092,0.0,-13252.0845105,42.092,0.0,-13252.0845105,21.7367998508,20.3552001492,-13253.3185308,10
41.4266666667,0.0,-12781.7664344,41.4266666667,0.0,-12781.7664344,41.4266666667,0.0,-12781.7664344,21.46822295,19.9584437167,-12783.6445207,14.6039903797,18.9682637042,-12783.4407252,10
40.7628571429,0.0,-12321.7436226,40.7628571429,0.0,-12321.7436226,40.7628571429,0.0,-12321.7436226,21.1973065118,19.565550631,-12324.3511689,14.4462371569,18.610777949,-12324.2486226,10
40.0975,0.0,-11869.8594417,40.0975,0.0,-11869.8594417,40.0975,0.0,-11869.8594417,20.9365930411,19.1609069589,-11873.4803342,10.9364405688,16.8398435321,-11873.3309092,10
39.4044444444,0.0,-11408.9379007,39.4044444444,0.0,-11408.9379007,39.4044444444,0.0,-11408.9379007,20.6775618826,18.7268825618,-11414.022933,10.8499450476,16.4906828896,-11414.2673117,10
38.712,0.0,-10958.3501937,38.712,0.0,-10958.3501937,38.712,0.0,-10958.3501937,20.4336185775,18.2783814225,-10965.4840643,10.7696878761,16.1387522721,-10966.2078317,10
37.98,0.0,-10492.7746773,37.98,0.0,-10492.7746773,20.1824162145,17.7975837855,-10502.660889,13.9243933147,17.0145533872,-10504.0192181,8.72253224158,14.6385892216,-10503.767844,10
37.2516666667,0.0,-10040.458932,37.2516666667,0.0,-10040.458932,19.9435020241,17.3081646426,-10053.9185038,13.8022442141,16.587499425,-10055.8517648,8.67441935327,14.3015032837,-10055.8440285,10
36.5076923077,0.0,-9589.64071842,36.5076923077,0.0,-9589.64071842,19.7022739817,16.805418326,-9607.49213185,13.6755929631,16.1531160546,-9610.03851231,8.61924234806,13.96102045,-9610.27931849,10
35.7542857143,0.0,-9144.60808614,35.7542857143,0.0,-9144.60808614,19.4604280582,16.2938576561,-9167.72369895,13.5480652547,15.713219468,-9170.95651813,7.28664598293,12.7542212398,-9171.33923862,10
35.0013333333,0.0,-8711.35976693,35.0013333333,0.0,-8711.35976693,19.2203933899,15.7809399434,-8740.58686723,13.4213655358,15.2735989572,-8744.58056234,7.24946890813,12.4398377156,-8745.40364684,10
