,,-0.0,,,-0.0,,,-0.0,,,-0.0,,,-0.0,6
5.87,0.0,-121.967408266,5.87,0.0,-121.967408266,5.87,0.0,-121.967408266,5.87,0.0,-121.967408266,5.87,0.0,-121.967408266,6
6.02,0.0,-130.109360625,6.02,0.0,-130.109360625,6.02,0.0,-130.109360625,6.02,0.0,-130.109360625,6.02,0.0,-130.109360625,6
6.185,0.0,-139.40811292,6.185,0.0,-139.40811292,6.185,0.0,-139.40811292,6.185,0.0,-139.40811292,3.20388334705,2.98111665295,-139.259076116,6
6.24,0.0,-142.587947899,6.24,0.0,-142.587947899,6.24,0.0,-142.587947899,6.24,0.0,-142.587947899,3.23349684458,3.00650315542,-142.435138586,6
6.33,0.0,-147.878301265,6.33,0.0,-147.878301265,6.33,0.0,-147.878301265,3.26691227164,3.06308772836,-147.746148741,2.21540754843,2.90969562904,-147.69092318,6
6.49428571429,0.0,-157.815122091,6.49428571429,0.0,-157.815122091,6.49428571429,0.0,-157.815122091,3.36098220031,3.13330351397,-157.661701512,2.31933633987,2.95213698942,-157.50082023,6
6.63,0.0,-166.298166435,6.63,0.0,-166.298166435,6.63,0.0,-166.298166435,3.46475806716,3.16524193284,-166.081860223,1.82900046051,2.77277238346,-165.832282425,6
6.78222222222,0.0,-176.110446099,6.78222222222,0.0,-176.110446099,6.78222222222,0.0,-176.110446099,3.57750749872,3.2047147235,-175.836184859,1.88654257217,2.82785119224,-175.583923926,6
6.966,0.0,-188.378651342,6.966,0.0,-188.378651342,6.966,0.0,-188.378651342,3.7121747123,3.2538252877,-188.050868128,1.98067051584,2.87956865154,-187.705877681,6
7.18545454545,0.0,-203.637775484,7.18545454545,0.0,-203.637775484,3.87627067462,3.30918387084,-203.2729391,2.68722297119,3.18247296025,-203.04856433,1.7087123497,2.74137820784,-202.719493194,6
7.44666666667,0.0,-222.672727362,7.44666666667,0.0,-222.672727362,4.0763695498,3.37029711686,-222.325707378,2.84793652261,3.25433513567,-222.038533886,1.82477068039,2.81546654079,-221.627549073,6
7.69692307692,0.0,-241.807144151,7.69692307692,0.0,-241.807144151,4.27215439001,3.42476868691,-241.569322828,3.00298615369,3.32279045333,-241.238361454,1.92678067998,2.89192292026,-240.788488942,6
7.93714285714,0.0,-261.008419076,7.93714285714,0.0,-261.008419076,4.45713312513,3.48000973201,-260.964227852,3.13965366662,3.39781538695,-260.615876412,1.70173146924,2.80042553585,-260.063114779,6
8.16933333333,0.0,-280.351325954,8.16933333333,0.0,-280.351325954,4.63076749448,3.53856583885,-280.561743627,3.25918179678,3.47996074444,-280.209404384,1.7675008564,2.87769184966,-279.623407534,6
8.37,0.0,-297.693329442,8.37,0.0,-297.693329442,4.77697598011,3.59302401989,-298.166720118,2.58798410998,3.35443015831,-297.607434536,1.57976431831,2.79049539445,-297.128082248,6
8.55058823529,0.0,-313.799115658,8.55058823529,0.0,-313.799115658,4.90256362973,3.64802460556,-314.512922139,2.64272080213,3.43003708049,-313.968050377,1.60595899196,2.85617076636,-313.518903086,6
8.70666666667,0.0,-328.102056218,8.70666666667,0.0,-328.102056218,5.00600049799,3.70066616867,-329.010094657,2.68600882362,3.4974548043,-328.480803633,1.63183630614,2.91070117775,-328.024353485,6
8.83684210526,0.0,-340.304256842,8.83684210526,0.0,-340.304256842,5.08763456693,3.74920753833,-341.348617731,2.71720779443,3.55642505656,-340.842546491,1.45509987828,2.81393516274,-340.348635566,6
8.955,0.0,-351.595844714,5.15605038696,3.79894961304,-352.72058701,5.15605038696,3.79894961304,-352.72058701,2.74141400342,3.61201671637,-352.243417389,1.46484506486,2.85549398064,-351.767173963,6
9.05523809524,0.0,-361.336580017,5.21003601015,3.84520208509,-362.495346008,5.21003601015,3.84520208509,-362.495346008,2.76074455657,3.65948331977,-362.042727336,1.47544850091,2.88936131943,-361.561232065,6
9.15454545455,0.0,-371.133641749,5.25847748679,3.89606796776,-372.281694479,3.60343169418,3.94941981699,-372.070631033,2.26609411271,3.47025959173,-371.70808592,1.3335497938,2.78896463312,-371.300750763,6
9.23913043478,0.0,-379.593812756,5.29707539699,3.94205503779,-380.709475585,3.63063183031,3.98922719365,-380.494668673,2.28541892374,3.50198166461,-380.119064262,1.3445415561,2.81433483882,-379.711179829,6
9.29416666667,0.0,-385.155731649,5.32070935544,3.97345731123,-386.237767343,3.6500845151,4.01342124009,-386.013636592,2.29521134419,3.52407893274,-385.646017355,1.21461321208,2.71626931371,-385.276150554,6
9.3384,0.0,-389.658666225,5.33639472778,4.00200527222,-390.685976543,3.66389411434,4.03384193251,-390.453527428,2.29508545661,3.54607233531,-390.122191262,1.2077095678,2.73314444815,-389.810652322,6
9.36384615385,0.0,-392.262313315,5.34252446132,4.02132169252,-393.234747978,3.66957314423,4.04700106934,-392.998397431,2.28741361229,3.56277342672,-392.715262979,1.20290163273,2.74282860096,-392.412783688,6
9.37851851852,0.0,-393.76798655,5.3421539816,4.03636453692,-394.677847066,3.66933435993,4.05686374225,-394.441476512,1.913470292,3.3635245551,-394.161427756,1.08847636556,2.64354317639,-393.923698568,6
9.39428571429,0.0,-395.389599514,5.33898763947,4.05529807482,-396.212666816,3.66762216413,4.06823713928,-395.97532483,1.90722946541,3.37261143679,-395.725865897,1.08778641965,2.64770993249,-395.474296132,6
9.40137931034,0.0,-396.120369397,5.33170294221,4.06967636814,-396.861677084,3.66381879038,4.07494608333,-396.62177963,1.90407944458,3.37629589131,-396.379332976,1.08618175057,2.64967598111,-396.128517476,6
9.40266666667,0.0,-396.253071316,5.32141568643,4.08125098024,-396.915166129,3.65875905176,4.07838945485,-396.670940324,1.90007991243,3.37787878096,-396.433626257,0.990996462607,2.55576648812,-396.21986473,6
9.39612903226,0.0,-395.579422514,5.3083394308,4.08778960146,-396.173237912,3.65213874512,4.07750135578,-395.92402391,1.89397388927,3.37712512771,-395.698308596,0.986602113483,2.55460447144,-395.502669299,6
9.383125,0.0,-394.241366101,5.29310853818,4.09001646182,-394.776611364,2.75442201305,3.84935365067,-394.486568524,1.62412501469,3.18932599989,-394.29937972,0.90721465313,2.46515979843,-394.131586529,6
9.3696969697,0.0,-392.862336294,5.27673989887,4.09295707082,-393.335191326,2.74865952577,3.84397537244,-393.037908468,1.61661782316,3.18641019763,-392.874412251,0.902333668404,2.4622395939,-392.712820605,6
9.33941176471,0.0,-389.762005179,5.25822500099,4.08118676372,-390.21365542,2.74031809309,3.8310505385,-389.913587739,1.60945674768,3.17689924459,-389.764614311,0.895334439462,2.45554824366,-389.628091287,6
9.29942857143,0.0,-385.689861069,5.23839862459,4.06102994684,-386.142543147,2.72840352485,3.81517438011,-385.847865633,1.59851061511,3.16547195579,-385.720554242,0.820316136132,2.36979653726,-385.629907015,6
9.255,0.0,-381.192946852,5.21779730233,4.03720269767,-381.655740427,2.71381143151,3.79862581539,-381.372340629,1.58485844975,3.15360103217,-381.271339343,0.812872010056,2.359795361,-381.193034936,6
9.20486486486,0.0,-376.153752749,5.19661026708,4.00825459778,-376.641157313,2.69737800048,3.78021325216,-376.372166331,1.57096008156,3.13969554827,-376.292378074,0.803976667232,2.34888898914,-376.220487073,6
9.16526315789,0.0,-372.199737533,5.17529238225,3.98997077564,-372.677472939,2.68198552563,3.76661706639,-372.420222376,1.36624001947,2.9707011095,-372.35496947,0.747574291,2.26810487151,-372.272224739,6
9.12564102564,0.0,-368.267008488,5.15383789322,3.97180313242,-368.73433854,2.67168146442,3.74945398299,-368.478742551,1.36386892794,2.95630636211,-368.402789129,0.749047934403,2.25683765343,-368.304853345,6
5.13233610964,3.94716389036,-364.193871092,3.52944638538,3.94020889309,-363.95752345,2.66321168447,3.72760275004,-363.934711827,1.3611675145,2.93993728875,-363.847302553,0.698250480626,2.18202628857,-363.770550127,6
5.1108708289,3.92229990281,-359.667494082,3.51376650333,3.91889977824,-359.434499969,2.65543792163,3.70520113711,-359.401877108,1.35653988768,2.92437311345,-359.314376329,0.692939461081,2.17173212624,-359.260766586,6
5.08949429082,3.89098189966,-354.577657422,3.49889212561,3.89270992903,-354.346197594,2.64662832827,3.68021109237,-354.307300829,1.34943320903,2.90781651055,-354.22801166,0.68867853504,2.15971017371,-354.17981382,6
5.06822063886,3.85410494254,-349.024756138,3.48458255908,3.8624563524,-348.793609835,2.11028662605,3.43291956581,-348.752607696,1.19383754512,2.75639579778,-348.68003672,0.643292399609,2.08887167336,-348.639758679,6
5.04706950897,3.81883958193,-343.683155522,3.47005423079,3.83357686027,-343.453065178,2.10169590346,3.40987159405,-343.410624852,1.18483957933,2.74064779473,-343.350059331,0.638029302007,2.07675735699,-343.314133848,6
5.02593075324,3.77362480231,-337.489382668,3.45685320323,3.79703895358,-337.257093316,2.09599621221,3.38065675387,-337.215978267,1.18005779374,2.72010865961,-337.155893048,0.634571250967,2.06202412327,-337.122552308,6
5.00466315446,3.71359771511,-330.030420101,3.44583303532,3.74883644265,-329.79042402,2.09171177018,3.34406382702,-329.748909865,1.18139676703,2.69250861529,-329.674039497,0.605702583412,1.98905929637,-329.608215389,6
4.98311403669,3.63688596331,-321.193635113,3.43792544766,3.68689235329,-320.938321298,2.09081419078,3.29821008497,-320.883436956,1.19285059902,2.6556460868,-320.759055866,0.615132004086,1.96473391708,-320.665588363,6
4.96126444211,3.54748555789,-311.409751156,3.4330382688,3.61396176827,-311.132751711,2.09867385546,3.24160936847,-311.037902337,1.10026794607,2.50035343482,-310.788576167,0.597988015518,1.8896604149,-310.690321295,6
4.93927744309,3.4537837814,-301.470237904,3.42936817542,3.53724001622,-301.170772093,2.11252702261,3.17952365366,-301.016008052,1.11589678482,2.45946122124,-300.704048764,0.606519503364,1.86333760492,-300.604169168,6
4.91670349393,3.34889650607,-290.808900149,3.42892786253,3.45017263302,-290.483706291,2.13083585518,3.10977829633,-290.253100862,1.12940158152,2.41651723575,-289.905058668,0.6170490922,1.83444123451,-289.777103637,6
4.8931489993,3.22763531442,-279.073053667,3.43329174101,3.34775341253,-278.721536058,2.15406599006,3.02981244576,-278.401563916,1.14540692243,2.36835022596,-278.014248489,0.610105607358,1.75818248348,-277.719216039,6
4.86862093921,3.09176367617,-266.539642912,3.44169116316,3.23186101048,-266.172455537,2.18066744707,2.94152425673,-265.758395485,1.16973262354,2.31300228126,-265.284879908,0.630187196517,1.72232279473,-264.881031982,6
4.84307008653,2.94221293234,-253.416165369,3.45343720515,3.10374564833,-253.057767555,2.20968003359,2.84612443691,-252.552951221,1.20033195167,2.25175956744,-251.946027427,0.649594426938,1.68495062035,-251.479557768,6
