,,-0.0,,,-0.0,,,-0.0,,,-0.0,,,-0.0,8
25.5523076923,0.0,-4231.87454922,25.5523076923,0.0,-4231.87454922,13.3259031154,12.2264045769,-4232.10388715,9.04919754091,11.6720635305,-4231.7589698,5.55103059334,10.0049225209,-4231.32063488,8
25.7557142857,0.0,-4310.03690151,25.7557142857,0.0,-4310.03690151,13.4618206073,12.2938936784,-4310.46038637,9.12938455034,11.7600971747,-4310.129493,4.70093278497,9.42131700251,-4309.55048731,8
25.9493333333,0.0,-4385.16828184,25.9493333333,0.0,-4385.16828184,13.5836795112,12.3656538222,-4385.75350114,9.19880926793,11.8487877186,-4385.44195308,4.74638662897,9.48795295361,-4384.80820268,8
26.105,0.0,-4446.08987928,26.105,0.0,-4446.08987928,13.6786757784,12.4263242216,-4446.79572451,7.02012573935,11.0246997732,-4446.26739602,4.11736014661,8.98274761935,-4445.75789131,8
26.2223529412,0.0,-4492.32216629,26.2223529412,0.0,-4492.32216629,13.7468384395,12.4755145017,-4493.09816344,7.05019383559,11.0754095364,-4492.57984083,4.11990802806,9.03013797249,-4492.15916014,8
26.2933333333,0.0,-4520.41297869,26.2933333333,0.0,-4520.41297869,13.7858518889,12.5074814445,-4521.21566778,7.05559290672,11.1137435402,-4520.74136062,4.11059375036,9.0633437682,-4520.39766444,8
26.3389473684,0.0,-4538.51566642,26.3389473684,0.0,-4538.51566642,13.8061112216,12.5328361469,-4539.29901976,7.04328831208,11.1477455265,-4538.8998604,3.59632515529,8.60338107506,-4538.55772103,8
26.406,0.0,-4565.19870816,13.8260605019,12.5799394981,-4565.88205822,13.8260605019,12.5799394981,-4565.88205822,7.03203886952,11.1931548687,-4565.55705677,3.60494877269,8.62488856662,-4565.1188829,8
26.4771428571,0.0,-4593.60328672,13.8433445584,12.6337982988,-4594.15994528,13.8433445584,12.6337982988,-4594.15994528,7.04404641306,11.2266328309,-4593.82298477,3.62782082244,8.64231119916,-4593.26644086,8
26.5545454545,0.0,-4624.61697165,13.860435423,12.6941100315,-4625.03556263,9.34818780967,12.171594392,-4624.79919413,5.72008271027,10.4227347659,-4624.40370723,3.25498899485,8.24306934771,-4623.97945452,8
26.6513043478,0.0,-4663.54742348,13.8825365257,12.7687678221,-4663.81474581,9.39259324765,12.2071073182,-4663.51326118,5.76343939533,10.448168859,-4663.04707827,3.28353849356,8.2664575839,-4662.58930537,8
26.7508333333,0.0,-4703.77928747,13.9079369048,12.8428964285,-4703.92223973,9.44325663029,12.2403730481,-4703.57061332,5.80311762319,10.4772304878,-4703.06892764,2.99348247798,7.92343651783,-4702.4941387,8
26.8528,0.0,-4745.19320646,13.9375254263,12.9152745737,-4745.23920077,9.49575036804,12.2744290925,-4744.87138582,5.83585711068,10.5114457011,-4744.3687938,3.01024044709,7.95172583677,-4743.79107691,8
26.9430769231,0.0,-4782.02558827,13.9680491016,12.9750278214,-4782.01177671,9.54318618254,12.3041885152,-4781.65970836,5.85874270925,10.5451767561,-4781.18223182,3.02313291285,7.9775579727,-4780.59222099,8
