,,-0.0,,,-0.0,,,-0.0,,,-0.0,,,-0.0,3
10.16,0.0,-478.648527532,10.16,0.0,-478.648527532,10.16,0.0,-478.648527532,10.16,0.0,-478.648527532,10.16,0.0,-478.648527532,3
10.3333333333,0.0,-498.732287578,10.3333333333,0.0,-498.732287578,10.3333333333,0.0,-498.732287578,10.3333333333,0.0,-498.732287578,10.3333333333,0.0,-498.732287578,3
10.46,0.0,-513.700254106,10.46,0.0,-513.700254106,10.46,0.0,-513.700254106,10.46,0.0,-513.700254106,5.33891510455,5.12108489545,-513.555622769,3
10.664,0.0,-538.325969127,10.664,0.0,-538.325969127,10.664,0.0,-538.325969127,10.664,0.0,-538.325969127,5.46658100861,5.19741899139,-538.135801059,3
10.9566666667,0.0,-574.779969523,10.9566666667,0.0,-574.779969523,10.9566666667,0.0,-574.779969523,5.68891453963,5.26775212704,-574.47319936,3.90431919289,4.98688641183,-574.227633083,3
11.3314285714,0.0,-623.408766598,11.3314285714,0.0,-623.408766598,11.3314285714,0.0,-623.408766598,5.98651956144,5.34490900998,-623.043395134,4.13154701031,5.09187731074,-622.736355166,3
11.725,0.0,-676.85390243,11.725,0.0,-676.85390243,11.725,0.0,-676.85390243,6.29552670052,5.42947329948,-676.63817542,3.35689131626,4.83495146727,-676.036189466,3
12.0622222222,0.0,-724.598905668,12.0622222222,0.0,-724.598905668,12.0622222222,0.0,-724.598905668,6.54874463638,5.51347758584,-724.673200052,3.47480679045,4.96490715492,-724.094919969,3
12.348,0.0,-766.48049665,12.348,0.0,-766.48049665,12.348,0.0,-766.48049665,6.74738480119,5.60061519881,-766.840694438,3.55514556988,5.08672707758,-766.310429987,3
12.64,0.0,-810.628256358,12.64,0.0,-810.628256358,6.93428472626,5.70571527374,-811.249670644,4.74504894292,5.59365394771,-810.979959774,2.98701394068,4.83834137614,-810.466226966,3
12.9783333333,0.0,-863.50352256,12.9783333333,0.0,-863.50352256,7.14448080276,5.83385253058,-864.43284614,4.90990722711,5.71628040736,-864.114533869,3.11605181592,4.94299249631,-863.501026593,3
13.3538461538,0.0,-924.368128754,13.3538461538,0.0,-924.368128754,7.38433010519,5.96951604866,-925.757300179,5.12685744502,5.82658678183,-925.389478829,3.26893062952,5.0546385177,-924.727095186,3
13.7714285714,0.0,-994.762457658,13.7714285714,0.0,-994.762457658,7.66247623316,6.10895233827,-996.88881989,5.37877755321,5.94222952848,-996.613610272,2.93252817587,4.86234617676,-995.622070564,3
14.2666666667,0.0,-1081.97662733,14.2666666667,0.0,-1081.97662733,8.00608014806,6.2605865186,-1085.37093249,5.68188905186,6.07730950953,-1085.44133921,3.12242069462,5.00194941587,-1084.36875224,3
14.8225,0.0,-1184.72176633,14.8225,0.0,-1184.72176633,8.41068599644,6.41181400356,-1190.25618233,4.70189958421,5.86070367175,-1190.66984066,2.93418648116,4.87812833192,-1189.60337102,3
15.3858823529,0.0,-1294.15412664,15.3858823529,0.0,-1294.15412664,8.83672862128,6.54915373166,-1302.81465873,4.98463949965,6.02828660426,-1304.17697657,3.10436942319,5.04818706956,-1303.136979,3
15.9377777778,0.0,-1406.56632376,15.9377777778,0.0,-1406.56632376,9.25988339786,6.67789437992,-1419.21379213,5.24249856299,6.20581523322,-1421.45787823,3.25070758516,5.22495474593,-1420.40565307,3
16.4873684211,0.0,-1523.67714119,16.4873684211,0.0,-1523.67714119,9.67877923585,6.8085891852,-1541.04905806,5.47866916403,6.39619744961,-1543.93330829,3.03366854295,5.14159484275,-1542.50047112,3
17.006,0.0,-1638.95757591,10.0707440301,6.9352559699,-1661.42766374,10.0707440301,6.9352559699,-1661.42766374,5.68819101718,6.58439609007,-1664.63213616,3.14300496278,5.30644539528,-1663.21193082,3
17.4723809524,0.0,-1746.60443881,10.4182811813,7.05409977112,-1774.06539921,10.4182811813,7.05409977112,-1774.06539921,5.86244826774,6.76244737011,-1777.22665211,3.21915487764,5.46418129142,-1775.83699082,3
17.8909090909,0.0,-1846.43551998,10.7221539763,7.16875511465,-1878.45427793,7.71133361021,7.23814744824,-1881.44950513,4.93455604412,6.55780226304,-1880.88516578,2.96130837516,5.36291521564,-1879.54030192,3
18.2739130435,0.0,-1940.48448951,10.9901537057,7.28375933775,-1976.47800636,7.86044587127,7.41342761379,-1978.89082465,5.02134149672,6.71359926442,-1978.33776346,3.00742468678,5.48736742021,-1976.98371925,3
18.6258333333,0.0,-2029.1791818,11.2264600851,7.39937324824,-2068.49368264,7.98074978739,7.58747346954,-2070.26073676,5.09689476802,6.85750097419,-2069.7481429,2.78234932299,5.37327476368,-2068.12002391,3
18.9712,0.0,-2118.35312687,11.4467960727,7.52440392726,-2160.40697619,8.08657034284,7.76702454089,-2161.57143757,5.17488347752,6.99457295719,-2161.15671642,2.82624345925,5.47547837659,-2159.5135598,3
19.3384615385,0.0,-2215.50614241,11.6694684013,7.66899313711,-2259.88190708,8.1973299429,7.95741550006,-2260.5903017,5.2730404382,7.12976612515,-2260.40565885,2.89390756509,5.57490412721,-2258.68834071,3
19.7340740741,0.0,-2322.85256836,11.9019812138,7.83209286027,-2369.3515202,8.33154329724,8.14803695459,-2369.84633349,4.61402152908,6.8587178147,-2369.77967593,2.74870331432,5.46228999964,-2368.06530493,3
20.1321428571,0.0,-2433.69778623,12.1347549684,7.99738788877,-2482.31439721,8.4933412893,8.31616473261,-2482.87429051,4.74470997467,6.97630241827,-2483.5366263,2.82332097238,5.56592843965,-2481.8261029,3
20.5151724138,0.0,-2543.04909228,12.3600028644,8.15516954944,-2593.83613974,8.67308691846,8.45721932065,-2594.71997962,4.86509848,7.09336771391,-2596.10075312,2.88225893225,5.67147823857,-2594.41093681,3
20.8913333333,0.0,-2653.02167595,12.5814498921,8.30988344125,-2706.00816533,8.86356278315,8.58379156595,-2707.46015136,4.96964158404,7.2162595389,-2709.33866942,2.7289544725,5.57311946144,-2707.32173345,3
21.2567741935,0.0,-2762.32051257,12.7972561678,8.45951802573,-2817.53986081,9.05537507532,8.70128218746,-2819.77321695,5.06213433679,7.34074900813,-2821.85866489,2.78140193241,5.66982966104,-2819.81485051,3
21.60375,0.0,-2868.34926705,13.0032718073,8.60047819267,-2925.81447219,7.33461887678,8.31376906069,-2931.49723453,4.49863353149,7.08715378243,-2930.59926285,2.63659022739,5.57615434191,-2928.66848769,3
21.9284848485,0.0,-2969.5764176,13.1968223631,8.73166248538,-3029.24203736,7.4508613867,8.43476811516,-3035.57966186,4.5692069668,7.19245934938,-3034.65508762,2.66874762217,5.66316313243,-3032.75378468,3
22.2152941176,0.0,-3060.59046829,13.3695054184,8.84578869924,-3122.36452685,7.54107644933,8.55088588599,-3129.05316539,4.62209198125,7.29017954636,-3128.12432698,2.68692128694,5.74350741906,-3126.27846328,3
22.452,0.0,-3136.84512024,13.5142723369,8.93772766312,-3200.55674938,7.6010573594,8.65745700305,-3207.23234084,4.64772498661,7.3800669473,-3206.29996581,2.51418310732,5.63792051974,-3204.36253739,3
22.6544444444,0.0,-3202.8823155,13.6369638327,9.01748061175,-3268.19364018,7.63422878458,8.76130655369,-3274.51993364,4.64950818418,7.46668945484,-3273.59806014,2.50459852082,5.69890869394,-3271.76235777,3
