delta_mean,delta_std,delta_entropy,theta_mean,theta_std,theta_entropy,alpha_mean,alpha_std,alpha_entropy,beta_mean,beta_std,beta_entropy,gamma_mean,gamma_std,gamma_entropy,userId
50.0659259259,0.0,-19618.3354151,27.4713369987,22.5945889272,-19693.7016849,19.1349130914,21.893733342,-19704.6249927,10.234292366,17.8582112029,-19708.2718461,5.91013605151,14.0140987449,-19706.6487886,1
50.5992857143,0.0,-20092.8177443,27.7931574364,22.8061282779,-20172.7434622,19.4022630735,22.0807731093,-20185.9739646,10.3791356212,18.0341643359,-20190.0777255,5.99823378639,14.1574317789,-20188.521625,1
51.1337931034,0.0,-20574.5127704,28.1190807421,23.0147123613,-20659.4557299,19.6702503472,22.2684409004,-20675.1343702,10.5229705103,18.2113488009,-20679.6205714,6.08756932381,14.300823981,-20678.1761343,1
51.662,0.0,-21056.6308396,28.4452784974,23.2167215026,-21147.0717086,19.9345915023,22.4545694936,-21165.2209462,10.6673247148,18.3855081463,-21170.0996788,5.70978932049,13.9139415931,-21168.3810523,1
52.1767741935,0.0,-21532.3347178,28.7672515674,23.4095226261,-21628.7005804,20.1905864838,22.6374807411,-21649.1975279,10.8076336394,18.5555306555,-21654.4205413,5.78097369379,14.050939295,-21652.7288535,1
52.6725,0.0,-21995.9006062,29.0807043012,23.5917956988,-22098.5006719,15.7823630096,21.3388783985,-22125.1010717,9.51552739341,17.6796460587,-22126.4534872,5.44037644077,13.6997943398,-22124.4092032,1
53.1545454545,0.0,-22451.8243436,29.3865885436,23.7679569109,-22560.8061713,15.9541349324,21.5205401971,-22589.0712821,9.61578091546,17.8387673007,-22590.4824193,5.49665548556,13.8256399343,-22588.4585891,1
53.6311764706,0.0,-22907.6288059,29.6880655019,23.9431109687,-23023.0338017,16.1186223043,21.7033510022,-23052.591484,9.71408659372,17.9961459736,-23054.0948156,5.55693445884,13.9482226848,-23052.1323352,1
54.104,0.0,-23364.7142488,29.985876108,24.118123892,-23486.5618918,16.2799775233,21.885583131,-23517.1826265,9.81675343866,18.1495867057,-23518.9310516,5.25914811197,13.6191578981,-23516.6850609,1
54.5711111111,0.0,-23821.098986,30.2792254855,24.2918856256,-23949.4103869,16.4406700808,22.0645329213,-23980.9961079,9.92362114014,18.2984989376,-23983.1499573,5.31586421212,13.7352025279,-23980.9558099,1
55.0318918919,0.0,-24276.0013982,30.5678182959,24.464073596,-24410.7852512,16.6018994587,22.2390838802,-24443.3288346,10.0309915337,18.4444291022,-24445.948927,5.3715810598,13.8497386103,-24443.7633363,1
55.4852631579,0.0,-24728.1542917,30.8511158244,24.6341473335,-24869.4057698,16.7634701687,22.4087644449,-24902.9543084,8.98497470707,17.6524109065,-24905.8612462,5.10168292679,13.543560285,-24903.4347791,1
55.9256410256,0.0,-25171.6907873,31.1263706691,24.7992703565,-25319.3969526,16.9227450741,22.572020338,-25353.9939271,9.069303567,17.7891802169,-25357.1456279,5.14815015595,13.651069095,-25354.7498351,1
31.3865169609,24.9524830391,-25746.0420099,22.0710589059,24.2618999824,-25775.2855704,17.0730581527,22.7248735454,-25781.6129271,9.14318007037,17.9199632716,-25784.7852294,4.89189051483,13.3656710316,-25782.0412818,1
31.6304155582,25.0949502955,-26148.4754973,22.2350663558,24.4209512542,-26177.8200592,17.2102969088,22.8698943833,-26184.7452113,9.20286745266,18.0462452037,-26187.674255,4.91396768447,13.4622866193,-26184.9093504,1
31.8543739143,25.2241975142,-26519.5104571,22.3823092107,24.5685458733,-26548.7071592,17.330055103,23.0062143659,-26556.0398674,9.24701349542,18.166142152,-26558.5136052,4.92879784914,13.5519670183,-26555.7204203,1
32.0552261061,25.338262266,-26852.9110192,22.5098170189,24.7031986942,-26881.6520714,14.2453346664,21.6482508132,-26891.0106937,8.33027366234,17.4384565242,-26890.6916081,4.66893202754,13.2694193148,-26887.8728373,1
32.2383540851,25.445736824,-27162.3230785,22.6199822222,24.833106322,-27190.2253503,14.2917828857,21.7739352297,-27199.0018926,8.34131567749,17.5401566104,-27198.4822257,4.6698719576,13.3433176968,-27195.6828486,1
32.4113011121,25.5566988879,-27465.7021933,22.717546845,24.9673316345,-27492.3823415,14.3264315648,21.9021072514,-27500.4285694,8.35526812254,17.6373269989,-27499.8356029,4.68219830162,13.4114589586,-27497.0196265,1
