,,-0.0,,,-0.0,,,-0.0,,,-0.0,,,-0.0,9
45.56,0.0,-15854.4255949,45.56,0.0,-15854.4255949,45.56,0.0,-15854.4255949,45.56,0.0,-15854.4255949,45.56,0.0,-15854.4255949,9
45.0866666667,0.0,-15484.2467459,45.0866666667,0.0,-15484.2467459,45.0866666667,0.0,-15484.2467459,45.0866666667,0.0,-15484.2467459,45.0866666667,0.0,-15484.2467459,9
45.18,0.0,-15556.8629063,45.18,0.0,-15556.8629063,45.18,0.0,-15556.8629063,45.18,0.0,-15556.8629063,22.8381179155,22.3418820845,-15556.5178096,9
44.964,0.0,-15389.0896648,44.964,0.0,-15389.0896648,44.964,0.0,-15389.0896648,44.964,0.0,-15389.0896648,22.5963966398,22.3676033602,-15388.9352497,9
44.9866666667,0.0,-15406.6489804,44.9866666667,0.0,-15406.6489804,44.9866666667,0.0,-15406.6489804,22.6241746282,22.3624920385,-15406.4653746,15.2134272634,21.0529266324,-15406.1776101,9
45.0971428571,0.0,-15492.3883221,45.0971428571,0.0,-15492.3883221,45.0971428571,0.0,-15492.3883221,22.7149252904,22.3822175667,-15492.1446857,15.2328955915,21.1172278555,-15491.9548027,9
45.0175,0.0,-15430.5523208,45.0175,0.0,-15430.5523208,45.0175,0.0,-15430.5523208,22.606111363,22.411388637,-15430.428243,11.4254181969,19.3949249232,-15430.0952713,9
45.1533333333,0.0,-15536.0965527,45.1533333333,0.0,-15536.0965527,45.1533333333,0.0,-15536.0965527,22.7203483647,22.4329849687,-15535.8906026,11.4894119005,19.4360001387,-15535.5341754,9
45.234,0.0,-15598.9610404,45.234,0.0,-15598.9610404,45.234,0.0,-15598.9610404,22.780911927,22.453088073,-15598.7213258,11.4771488551,19.4896301468,-15598.5105343,9
45.2109090909,0.0,-15580.9518999,45.2109090909,0.0,-15580.9518999,22.7430947261,22.4678143648,-15580.7563946,15.1773049048,21.2371719585,-15580.7434939,9.20154942758,18.0052349409,-15580.4192957,9
45.3733333333,0.0,-15707.8708338,45.3733333333,0.0,-15707.8708338,22.8662853602,22.5070479731,-15707.6065952,15.3001857206,21.2650699464,-15707.5059155,9.28391542199,18.0449382334,-15707.148816,9
45.48,0.0,-15791.5256668,45.48,0.0,-15791.5256668,22.9502539819,22.5297460181,-15791.2192993,15.3723010801,21.2895211498,-15791.0759482,9.2996048771,18.0904098575,-15790.8347617,9
45.7728571429,0.0,-16022.4475952,45.7728571429,0.0,-16022.4475952,23.1993416754,22.5735154675,-16022.0804682,15.606699651,21.330857762,-16021.7735425,7.93471471849,16.9222600581,-16021.2215619,9
46.1133333333,0.0,-16293.2138998,46.1133333333,0.0,-16293.2138998,23.5011212403,22.612212093,-16293.0278011,15.878015284,21.37985608,-16292.6612166,8.10667068519,16.9983971942,-16291.937443,9
46.3575,0.0,-16488.9111493,46.3575,0.0,-16488.9111493,23.714973091,22.642526909,-16489.072036,12.1382290928,19.7579043618,-16488.4304931,7.03111533561,16.0576755609,-16487.9867947,9
46.5705882353,0.0,-16660.7391969,46.5705882353,0.0,-16660.7391969,23.8918965404,22.6786916949,-16661.3081187,12.1996593106,19.8467337814,-16660.7571238,7.03409860898,16.1450381066,-16660.4923976,9
46.76,0.0,-16814.2895852,46.76,0.0,-16814.2895852,24.0397255354,22.7202744646,-16815.2548235,12.2230424998,19.9443087775,-16814.8211918,7.07110019674,16.2077477357,-16814.4292247,9
46.9421052632,0.0,-16962.6400445,46.9421052632,0.0,-16962.6400445,24.1732080891,22.768897174,-16963.9792774,12.2512544544,20.0344601437,-16963.5893276,6.2393963057,15.3893725161,-16962.9767039,9
47.225,0.0,-17194.5052117,24.3743732709,22.8506267291,-17196.4609696,24.3743732709,22.8506267291,-17196.4609696,12.3931445878,20.1154058925,-17195.8791879,6.34626650815,15.4558535283,-17195.0381002,9
47.439047619,0.0,-17371.081247,24.5276255034,22.9114221157,-17373.5892929,24.5276255034,22.9114221157,-17373.5892929,12.4997150858,20.1776429957,-17372.920531,6.3917394611,15.5204096843,-17372.1516149,9
47.7036363636,0.0,-17590.7081313,24.7126267721,22.9910095915,-17593.9285634,16.6317581912,21.9770764374,-17593.5949844,10.1939867083,18.7607438327,-17592.9041356,5.74791633245,14.8406914887,-17592.4222371,9
47.9530434783,0.0,-17799.108715,24.8878702899,23.0651731883,-17803.0974932,16.7659567726,22.0589913906,-17802.7431755,10.27423516,18.8463697566,-17802.1348743,5.81588801466,14.9054187885,-17801.4668515,9
48.1908333333,0.0,-17999.0463697,25.0542165762,23.1366167572,-18003.8346163,16.8992116181,22.1331629396,-18003.4673317,10.3380025013,18.9347859833,-18002.9772721,5.29064894335,14.3087404859,-18002.1437493,9
48.444,0.0,-18213.2493291,25.2289712238,23.2150287762,-18218.9284432,17.0415820217,22.2116724107,-18218.5680644,10.4078186748,19.0278887623,-18218.1531984,5.33088665867,14.3808607471,-18217.2883349,9
48.7215384615,0.0,-18449.6581545,25.4195253682,23.3020130933,-18456.3861116,17.1999756094,22.2959908042,-18456.0696848,10.5199953119,19.1108343874,-18455.5655982,5.41324866916,14.4462975188,-18454.4948949,9
48.9903703704,0.0,-18680.2329173,25.6059301443,23.3844402261,-18688.1109631,17.3556692183,22.3760654976,-18687.8821005,8.95173439565,17.9159097812,-18686.9039318,4.98788713409,13.9261072866,-18686.1175277,9
49.2928571429,0.0,-18941.5367601,25.8147116258,23.4781455171,-18950.8035929,17.5312090276,22.4658639244,-18950.7358138,9.05857271625,18.0041117934,-18949.6936007,5.06352000207,13.9986124041,-18948.7440063,9
49.5496551724,0.0,-19164.9226884,25.9964583897,23.5531967827,-19175.5882503,17.6810526669,22.54167985,-19175.6963888,9.13552059494,18.0858356618,-19174.6802217,5.10821259243,14.0670107692,-19173.7075893,9
49.8166666667,0.0,-19398.7045763,26.1829762014,23.6336904653,-19410.8680102,17.8308940064,22.6248116896,-19411.1709666,9.19690328997,18.1797328625,-19410.2374389,4.72085546255,13.6121215612,-19409.2363093,9
50.1103225806,0.0,-19657.595938,26.3855660045,23.7247565762,-19671.4531617,17.9922637013,22.7186655309,-19671.99689,9.26788358263,18.2813594231,-19671.1418232,4.79075159464,13.680333646,-19669.802161,9
50.39,0.0,-19905.8999483,26.5803980574,23.8096019426,-19921.5483764,13.7789126971,21.1511535431,-19921.9864788,8.09405700746,17.2842898415,-19921.1096637,4.48270938781,13.2695649509,-19919.9725636,9
50.6884848485,0.0,-20172.7722827,26.7867317237,23.9017531247,-20190.4092258,13.9032361638,21.2528943463,-20191.1450723,8.18708283113,17.3690082515,-20190.1903305,4.53202585057,13.342872215,-20189.0643784,9
50.9664705882,0.0,-20423.0554668,26.98111,23.9853605882,-20442.7490413,14.022149108,21.3458246745,-20443.7810558,8.26627311747,17.4513472766,-20442.7918975,4.58387089505,13.4092967674,-20441.5620738,9
51.256,0.0,-20685.5167826,27.1817335058,24.0742664942,-20707.4136777,14.1453380112,21.4429191506,-20708.7643691,8.33728211339,17.5422210712,-20707.7921911,4.30166869404,13.0443908726,-20706.480745,9
51.5061111111,0.0,-20913.7125632,27.3579278471,24.1481832641,-20937.7418437,14.2502844921,21.5278258924,-20939.342561,8.3869793026,17.6260772191,-20938.4212374,4.3306601119,13.1071123783,-20937.0819507,9
